"Motif","Offre","Opération","Type OT","Région","Unité Traitante","Date Etat OT"
"Manque de couverture","VDSL Offre de gros Postpayee","Transfert","Raccordement","SOUSSE","ULS SOUSSE","17/10/25 09:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","22/10/25 09:56"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","06/01/25 11:32"
"Manque de couverture","Waffi VDSL 2020","Transfert","Réservation RLA","SOUSSE","ULS SAHLOUL","06/01/25 08:15"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","14/01/25 10:41"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","21/02/25 08:16"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","28/02/25 08:07"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/03/25 08:50"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","11/03/25 10:09"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","18/04/25 08:47"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","14/08/25 09:50"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","22/05/25 07:44"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","25/06/25 12:07"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","04/06/25 14:32"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","24/06/25 14:52"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","01/07/25 11:43"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","15/07/25 12:59"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","15/07/25 10:59"
"Manque de couverture","Waffi VDSL 2020","Transfert","Raccordement","SOUSSE","ULS SOUSSE","17/09/25 09:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","21/08/25 10:24"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","02/09/25 13:53"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","28/08/25 15:09"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","11/09/25 10:05"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 08:15"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","06/10/25 11:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","08/10/25 09:19"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","06/10/25 11:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 09:30"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/09/25 14:10"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/10/25 13:24"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","03/10/25 16:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/10/25 09:49"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/10/25 09:46"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","09/10/25 14:35"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/10/25 09:43"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","16/10/25 09:36"
"Manque de couverture","VDSL PRO Hybride GU TT 2022","Transfert","Réservation RLA","SOUSSE","ULS SOUSSE","21/10/25 14:24"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/10/25 11:00"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","07/01/25 13:35"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","13/01/25 14:42"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","22/01/25 08:51"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","08/04/25 09:12"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","10/04/25 08:34"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","24/04/25 10:03"
"Manque de couverture","Waffi VDSL 2020","Reprise Abonnement","Raccordement","SOUSSE","ULS SAHLOUL","26/05/25 07:44"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/08/25 10:31"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/07/25 07:14"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","19/08/25 10:11"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","01/09/25 08:51"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","18/09/25 15:45"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","01/09/25 10:11"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","10/09/25 15:06"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","30/09/25 11:39"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/09/25 10:28"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","17/09/25 09:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","19/09/25 13:10"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","24/09/25 17:12"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","30/09/25 08:53"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/09/25 10:54"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","17/10/25 13:20"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","13/10/25 08:59"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","23/10/25 09:25"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/10/25 14:34"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","29/10/25 13:58"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","19/01/25 10:24"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","27/03/25 11:03"
"Manque de couverture","VDSL PRO Hybride GU TT 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","24/01/25 08:04"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","13/02/25 10:42"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","21/03/25 12:27"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","27/03/25 09:38"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","18/04/25 06:58"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","13/05/25 08:33"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","08/05/25 06:52"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","04/06/25 14:30"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","18/06/25 14:23"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/06/25 07:48"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","08/09/25 09:46"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","02/09/25 15:36"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","02/09/25 09:23"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","17/09/25 08:58"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","09/09/25 12:44"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","17/09/25 09:03"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","01/10/25 12:16"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","30/09/25 09:47"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/10/25 13:26"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/09/25 10:25"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","08/10/25 12:49"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","20/10/25 08:05"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/10/25 11:07"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","30/10/25 14:34"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","17/01/25 09:50"
"Manque de couverture","ForFix 10 Postpayee","Nouvelle Installation","Réservation RLA","SOUSSE","ULS SAHLOUL","27/01/25 08:12"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/02/25 09:36"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","08/04/25 17:56"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","29/04/25 16:23"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","04/06/25 13:25"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/06/25 07:13"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","17/07/25 12:41"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/07/25 13:29"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/07/25 07:15"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/07/25 07:13"
"Manque de couverture","Postpaye","Transfert","Raccordement","SOUSSE","ULS SAHLOUL","08/09/25 09:56"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/08/25 10:55"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","27/08/25 12:55"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","03/09/25 15:41"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 09:37"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","23/09/25 08:53"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","24/09/25 15:35"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/09/25 10:25"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","09/10/25 08:31"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","09/10/25 08:31"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","09/10/25 09:56"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","20/10/25 09:01"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/10/25 10:10"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/10/25 10:58"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","27/10/25 10:49"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","13/01/25 10:14"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","22/01/25 14:40"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","05/02/25 11:30"
"Manque de couverture","VDSL PRO Hybride GU TT 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","14/02/25 10:09"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","13/03/25 10:52"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","17/03/25 11:34"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/03/25 09:45"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","23/06/25 19:12"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","20/06/25 13:42"
"Manque de couverture","Waffi VDSL 2020","Transfert","Raccordement","SOUSSE","ULS SAHLOUL","17/07/25 07:28"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","01/08/25 07:07"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","23/07/25 10:11"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/07/25 10:16"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","17/09/25 15:47"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","29/08/25 10:31"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","11/09/25 10:43"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","06/10/25 11:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","08/10/25 09:19"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","08/10/25 09:19"
"Manque de couverture","Post Paye Corporate","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 10:32"
"Manque de couverture","Waffi VDSL 2020","Transfert","Raccordement","SOUSSE","ULS SOUSSE","09/10/25 08:43"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","02/10/25 09:40"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","08/10/25 16:07"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","13/10/25 09:37"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","15/10/25 16:10"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","23/10/25 14:49"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","28/10/25 13:35"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","27/01/25 07:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","27/01/25 08:35"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","18/02/25 10:56"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","12/03/25 13:57"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","24/03/25 11:01"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","27/03/25 10:08"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/04/25 07:17"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","20/06/25 13:34"
"Manque de couverture","VDSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS MSAKEN","15/08/25 18:35"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","15/07/25 09:19"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","20/08/25 09:11"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","22/08/25 07:13"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","11/09/25 12:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/09/25 08:41"
"Manque de couverture","VDSL PRO Hybride GU TT 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 09:09"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","24/09/25 17:13"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/10/25 13:13"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","16/10/25 16:00"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","30/10/25 10:13"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","10/01/25 10:28"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","07/01/25 13:06"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","11/02/25 08:28"
"Manque de couverture","VDSL PRO Hybride GU TT 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","12/03/25 12:52"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","13/03/25 11:53"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","25/03/25 08:40"
"Manque de couverture","ADSL | BKP","Nouvelle Installation DATA","Réservation RLA","SOUSSE","ULS SAHLOUL","23/04/25 09:12"
"Manque de couverture","ADSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS MSAKEN","18/09/25 15:54"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","29/04/25 08:13"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","29/04/25 16:22"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","16/05/25 14:07"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","04/06/25 10:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","23/07/25 15:59"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","16/07/25 07:25"
"Manque de couverture","ADSL PRO Hybride GU FSI","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","15/07/25 09:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","15/07/25 10:22"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","17/07/25 13:15"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","14/08/25 09:05"
"Manque de couverture","ForFix 10 prp","Nouvelle Installation","Réservation RLA","SOUSSE","ULS SAHLOUL","14/08/25 07:23"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","14/08/25 08:44"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","17/09/25 08:59"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","16/09/25 11:52"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/09/25 10:02"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","02/10/25 14:56"
"Manque de couverture","VDSL PRO GU FSI 2022","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","19/09/25 11:35"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/09/25 08:41"
"Manque de couverture","VDSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS SOUSSE","01/10/25 12:15"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","06/10/25 11:01"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","06/10/25 13:26"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 16:05"
"Manque de couverture","VDSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS SOUSSE","08/10/25 15:07"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","13/10/25 08:58"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","16/10/25 09:19"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","16/10/25 06:58"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/10/25 10:58"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","29/10/25 08:04"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","29/09/25 12:49"
